TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1786618452,26.58618,76.86732,23,0,218,,19,27.15551,26.54632,21.77803
1786618452,26.6289,76.59876,23,0,219,,3,27.15551,26.54632,21.8119
1786618453,26.75708,76.69947,23,0,218,,147,27.08778,26.58019,21.77803
1786618454,26.6289,76.68116,23,0,219,,153,27.12165,26.54632,21.67663
1786618454,26.64225,76.59266,23,0,219,,0,27.12165,26.54632,21.84556
1786618455,26.68765,76.64301,23,0,219,,3,27.18938,26.47879,21.84556
1786618456,26.61288,76.40955,23,0,219,,50,27.08778,26.51246,21.77803
1786618456,26.64225,76.44617,23,0,219,,44,27.12165,26.41106,21.77803
1786618457,26.57282,76.46143,22,0,218,,1,27.12165,26.61406,21.8119
1786618458,26.6289,76.42329,23,0,219,,42,27.08778,26.54632,21.74417
1786618458,26.59953,76.37293,23,0,218,,192,27.05412,26.54632,21.77803
1786618459,26.59953,76.42481,23,0,218,,30,27.12165,26.54632,21.8119
1786618460,26.57282,76.39735,23,0,218,,0,27.15551,26.47879,21.77803
1786618460,26.5568,76.26002,23,0,218,,84,27.08778,26.58019,21.77803
1786618461,26.6289,76.43244,23,0,218,,198,27.15551,26.61406,21.77803
1786618462,26.5568,76.30122,23,0,218,,18,27.08778,26.54632,21.7105
1786618462,26.6743,76.3592,23,0,219,,0,27.08778,26.44473,21.77803
1786618463,26.59953,76.32258,23,0,219,,88,27.15551,26.58019,21.77803
1786618464,26.6556,76.35615,23,0,219,,101,27.15551,26.64792,21.8119
1786618464,26.64225,76.35157,23,0,219,,3,27.12165,26.58019,21.87943
1786618465,26.5301,76.36835,23,0,219,,3,27.08778,26.64792,21.74417
1786618466,26.59953,76.36378,23,0,219,,59,27.08778,26.58019,21.67663
1786618467,26.59953,76.44617,23,0,219,,75,27.15551,26.61406,21.8119
1786618467,26.59953,76.37293,23,0,219,,2,27.12165,26.47879,21.8119
1786618468,26.61288,76.30579,23,0,219,,-1,27.12165,26.58019,21.7105
1786618469,26.6556,76.45991,23,0,219,,97,27.12165,26.51246,21.7105
1786618469,26.6556,76.41871,23,0,219,,91,27.08778,26.54632,21.84556
1786618470,26.58618,76.33784,23,0,218,,0,27.12165,26.61406,21.84556
1786618471,26.5568,76.35157,23,0,219,,18,27.08778,26.58019,21.77803
1786618471,26.64225,76.39277,23,0,219,,48,27.08778,26.61406,21.8119
1786618472,26.51675,76.34241,23,0,219,,70,27.08778,26.51246,21.8119
1786618473,26.59953,76.40498,23,0,219,,0,27.12165,26.47879,21.67663
1786618474,26.59953,76.29206,23,0,219,,6,27.08778,26.58019,21.77803
1786618474,26.54345,76.38209,23,0,219,,109,27.12165,26.61406,21.77803
1786618475,26.5568,76.32258,23,0,219,,21,27.08778,26.64792,21.77803
1786618475,26.54345,76.41108,23,0,219,,0,27.12165,26.54632,21.74417
1786618476,26.61288,76.45075,23,0,218,,88,27.15551,26.54632,21.77803
1786618477,26.6289,76.49348,23,0,218,,149,27.12165,26.61406,21.8119
1786618477,26.5301,76.31495,23,0,219,,14,27.12165,26.51246,21.77803
1786618478,26.57282,76.36835,23,0,218,,6,27.08778,26.54632,21.77803
1786618479,26.58618,76.32868,23,0,218,,109,27.08778,26.51246,21.77803
1786618479,26.6289,76.40192,23,0,219,,167,27.08778,26.51246,21.8119
1786618480,26.51675,76.41566,23,0,218,,5,27.08778,26.51246,21.74417
1786618481,26.57282,76.33631,23,0,219,,14,27.15551,26.54632,21.8119
1786618481,26.6289,76.37904,23,0,219,,122,27.15551,26.47879,21.77803
1786618482,26.54345,76.49348,23,0,218,,134,27.15551,26.61406,21.77803
1786618483,26.58618,76.42329,23,0,219,,0,27.15551,26.54632,21.84556
1786618484,26.61288,76.59418,23,0,218,,34,27.12165,26.51246,21.7105
1786618484,26.54345,76.48432,23,0,219,,90,27.18938,26.54632,21.8119
1786618485,26.54345,76.51484,23,0,219,,51,27.08778,26.54632,21.8119
1786618486,26.5301,76.58503,23,0,219,,0,27.12165,26.61406,21.84556
1786618486,26.61288,76.62623,23,0,218,,100,27.12165,26.64792,21.8119
1786618487,26.57282,76.55299,23,0,219,,163,27.08778,26.54632,21.84556
1786618488,26.48737,76.59724,23,0,218,,32,27.12165,26.58019,21.77803
1786618488,26.51675,76.68574,23,0,218,,0,27.08778,26.54632,21.84556
1786618489,26.458,76.78493,23,0,219,,121,27.12165,26.47879,21.84556
1786618490,26.47402,76.67506,23,0,219,,119,27.12165,26.51246,21.7105
1786618490,26.5568,76.78645,23,0,219,,23,27.12165,26.51246,21.8119
1786618491,26.50072,76.82613,23,0,218,,1,27.12165,26.54632,21.74417
1786618492,26.48737,76.93599,23,0,218,,98,27.12165,26.47879,21.74417
1786618492,26.5301,77.06111,23,0,218,,166,27.12165,26.51246,21.8119
1786618493,26.51675,77.11909,23,0,218,,23,27.12165,26.51246,21.7105
1786618494,26.54345,77.11604,23,0,219,,0,27.08778,26.58019,21.7105
1786618494,26.54345,76.94972,23,0,218,,114,27.15551,26.61406,21.77803
1786618495,26.64225,77.16029,23,0,218,,165,27.15551,26.58019,21.84556
1786618496,26.50072,76.98177,23,0,219,,26,27.08778,26.47879,21.8119
1786618496,26.5568,77.06874,23,0,218,,1,27.15551,26.47879,21.74417
1786618497,26.47402,76.92226,23,0,218,,106,27.08778,26.44473,21.84556
1786618498,26.50072,76.91005,23,0,218,,175,27.08778,26.54632,21.77803
1786618498,26.54345,76.78493,23,0,218,,61,27.08778,26.51246,21.74417
1786618499,26.54345,76.92836,23,0,218,,0,27.12165,26.58019,21.74417
1786618500,26.50072,76.86732,23,0,218,,70,27.05412,26.58019,21.74417
1786618501,26.54345,76.96956,23,0,218,,186,27.12165,26.58019,21.77803
1786618501,26.59953,76.90395,23,0,218,,123,27.12165,26.54632,21.74417
1786618502,26.54345,76.99092,23,0,218,,0,27.12165,26.41106,21.77803
1786618503,26.51675,76.94209,23,0,219,,21,27.15551,26.51246,21.8119
1786618503,26.51675,76.9131,23,0,219,,122,27.08778,26.51246,21.8119
1786618504,26.58618,77.08705,23,0,218,,166,27.08778,26.58019,21.74417
1786618505,26.58618,77.13741,23,0,216,,23,27.08778,26.54632,21.87943
1786618505,26.5301,77.09163,23,0,218,,3,27.05412,26.54632,21.77803
1786618506,26.48737,77.14351,23,0,218,,146,27.15551,26.54632,21.84556
1786618507,26.54345,77.16945,23,0,218,,187,27.15551,26.51246,21.8119
1786618507,26.48737,77.10231,23,0,218,,37,27.08778,26.61406,21.7105
1786618508,26.50072,77.19844,23,0,217,,0,27.12165,26.54632,21.74417
1786618509,26.51675,77.30679,23,0,218,,67,27.08778,26.54632,21.84556
1786618509,26.54345,77.34493,23,0,218,,183,27.08778,26.44473,21.74417
1786618510,26.59953,77.21217,23,0,218,,149,27.08778,26.47879,21.64277
