TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1783220400,28.41268,85.41543,91,0,205,,1,29.45802,28.98389,25.49748
1783220400,28.4287,85.57565,91,0,204,,1,29.89848,29.79668,25.49748
1783220401,28.48478,85.47799,91,0,205,,1,29.18709,30.06781,24.88849
1783220402,28.5275,85.42458,91,0,204,,1,29.52575,29.86441,25.39588
1783220402,28.4287,85.30556,91,0,205,,1,29.79668,29.72895,25.22675
1783220403,28.4287,84.9836,91,0,204,,2,29.69508,29.99988,25.93733
1783220404,28.41268,84.89357,91,0,205,,1,29.28868,29.35642,25.83574
1783220404,28.39933,84.57771,91,0,204,,1,29.35642,28.78069,25.15922
1783220405,28.54086,84.31678,91,0,205,,1,29.39028,30.30487,25.12535
1783220406,28.44205,84.05127,91,0,205,,1,29.72895,29.35642,25.12535
1783220406,28.37263,83.78119,91,0,205,,1,29.69508,30.16941,25.02375
1783220407,28.54086,83.64233,91,0,205,,1,29.86441,29.62735,25.26061
1783220408,28.37263,83.38598,91,0,204,,1,29.86441,29.69508,25.66661
1783220409,28.39933,83.01671,91,0,205,,1,29.52575,29.42415,25.73434
1783220409,28.4287,82.95262,91,0,204,,1,29.76281,30.20328,25.39588
1783220410,28.4287,82.85954,91,0,205,,2,29.22095,29.55962,26.00507
1783220411,28.49813,82.94194,91,0,204,,1,29.01776,29.42415,25.80187
1783220411,28.49813,83.03349,91,0,205,,1,29.99988,29.42415,25.49748
1783220412,28.45541,83.14946,91,0,205,,2,29.35642,29.79668,25.26061
1783220413,28.38598,83.13115,91,0,205,,2,29.76281,29.59348,25.09148
1783220413,28.47143,83.11131,91,0,205,,1,28.91616,29.83055,25.70047
1783220414,28.41268,82.97093,91,0,205,,1,29.83055,30.44034,25.12535
1783220415,28.4287,82.89159,91,0,205,,1,28.98389,29.11935,25.42974
1783220415,28.5275,82.59403,91,0,204,,1,29.72895,29.96601,25.59887
1783220416,28.47143,82.75578,91,0,205,,2,28.78069,29.79668,25.971
1783220417,28.47143,82.82903,91,0,204,,1,29.62735,29.18709,25.15922
1783220417,28.47143,82.97551,91,0,205,,1,29.39028,29.79668,25.05762
1783220418,28.45541,83.12962,91,0,204,,1,29.62735,29.45802,25.46361
1783220419,28.47143,83.36004,91,0,205,,1,29.18709,28.81456,24.92235
1783220419,28.41268,83.44091,91,0,205,,1,29.89848,29.52575,26.1742
1783220420,28.47143,83.57977,91,0,204,,1,29.05162,30.06781,25.53114
1783220421,28.41268,83.66674,91,0,205,,1,29.35642,29.52575,26.0726
1783220421,28.45541,83.83459,91,0,204,,1,29.22095,29.62735,26.0726
1783220422,28.49813,84.065,91,0,205,,1,28.91616,29.69508,26.24193
1783220423,28.38598,84.3473,91,0,204,,2,29.22095,29.96601,25.66661
1783220423,28.44205,84.56855,91,0,205,,1,29.49188,29.72895,25.63274
1783220424,28.54086,84.76387,91,0,205,,1,29.05162,29.83055,25.49748
1783220425,28.48478,84.99886,91,0,203,,2,28.74682,28.50976,25.22675
1783220426,28.49813,85.19875,91,0,205,,1,29.86441,29.25482,25.49748
1783220426,28.4287,85.17128,91,0,204,,1,29.59348,29.28868,25.39588
1783220427,28.45541,85.14534,91,0,205,,1,28.95002,29.93214,24.85462
1783220428,28.45541,84.93782,91,0,205,,1,29.35642,29.39028,25.15922
1783220428,28.41268,84.76997,91,0,205,,1,29.79668,29.99988,25.26061
1783220429,28.51148,84.51667,91,0,205,,1,29.52575,29.52575,25.15922
1783220430,28.54086,84.29389,91,0,205,,1,29.49188,29.49188,26.00507
1783220430,28.45541,84.15656,91,0,205,,1,29.11935,29.35642,25.49748
1783220431,28.34325,83.82544,91,0,204,,1,28.84842,29.76281,25.39588
1783220432,28.44205,83.70641,91,0,205,,1,29.28868,29.66121,25.49748
1783220432,28.44205,83.38293,91,0,204,,1,29.39028,29.08549,25.63274
1783220433,28.39933,83.12505,91,0,205,,1,29.22095,29.25482,25.59887
1783220434,28.41268,83.00145,91,0,203,,2,29.69508,29.35642,25.42974
1783220434,28.54086,82.80614,91,0,205,,1,28.91616,29.99988,25.53114
1783220435,28.44205,82.69474,91,0,204,,1,29.59348,29.42415,24.68549
1783220436,28.45541,82.82445,91,0,205,,1,29.28868,29.62735,25.59887
1783220436,28.37263,83.06248,91,0,204,,1,29.42415,29.69508,25.70047
1783220437,28.48478,83.38598,91,0,205,,1,29.69508,29.69508,25.19288
1783220438,28.44205,83.57061,91,0,204,,1,29.76281,29.55962,25.39588
1783220438,28.48478,83.85291,91,0,205,,1,28.98389,29.55962,25.22675
1783220439,28.48478,84.14587,91,0,204,,1,29.08549,29.55962,25.15922
1783220440,28.44205,84.13214,91,0,205,,1,29.05162,29.93214,25.36221
1783220440,28.47143,84.1825,91,0,204,,2,29.76281,29.52575,25.19288
1783220441,28.44205,84.19623,91,0,205,,1,29.79668,29.49188,25.02375
1783220442,28.47143,84.37019,91,0,204,,2,29.96601,30.16941,24.92235
1783220442,28.41268,84.41596,91,0,205,,1,29.28868,30.10148,25.42974
1783220443,28.45541,84.28321,91,0,204,,1,29.35642,29.99988,25.02375
1783220444,28.44205,83.90479,91,0,206,,1,28.98389,29.83055,25.80187
1783220445,28.44205,83.68505,91,0,204,,2,30.30487,29.42415,25.59887
1783220445,28.38598,83.39056,91,0,205,,1,29.39028,30.33874,25.05762
1783220446,28.37263,83.15709,91,0,204,,1,29.32255,28.50976,25.29448
1783220447,28.37263,83.00145,91,0,205,,1,29.45802,29.35642,25.8696
1783220447,28.45541,82.81529,91,0,204,,1,29.22095,29.39028,25.971
1783220448,28.41268,82.56199,91,0,205,,1,29.86441,29.28868,25.29448
1783220449,28.41268,82.44755,91,0,204,,1,29.25482,29.28868,25.53114
1783220449,28.4287,82.33768,91,0,205,,1,29.79668,29.11935,25.12535
1783220450,28.38598,82.33768,91,0,204,,1,30.10148,29.69508,25.70047
1783220451,28.3566,82.49485,91,0,205,,1,29.01776,29.69508,25.49748
1783220451,28.34325,82.73136,91,0,204,,1,29.86441,29.62735,25.12535
1783220452,28.39933,82.84123,91,0,205,,1,29.72895,29.76281,25.73434
1783220453,28.3566,82.97398,91,0,204,,1,29.62735,29.49188,25.768
1783220453,28.3299,83.15709,91,0,205,,1,30.06781,28.98389,25.32835
1783220454,28.44205,83.1754,91,0,203,,1,29.15322,29.59348,24.65183
1783220455,28.39933,83.1342,91,0,205,,1,29.62735,29.08549,25.66661
1783220455,28.48478,83.17693,91,0,204,,2,29.39028,29.69508,25.26061
1783220456,28.41268,83.05333,91,0,205,,1,29.76281,28.78069,25.59887
1783220457,28.41268,82.84276,91,0,204,,2,29.72895,29.45802,25.09148
1783220457,28.48478,82.916,91,0,205,,1,29.22095,29.69508,25.59887
1783220458,28.39933,82.71458,91,0,204,,1,29.86441,29.18709,25.46361
1783220459,28.37263,82.52079,91,0,205,,1,29.49188,29.25482,25.26061
1783220459,28.38598,82.5864,91,0,204,,1,28.98389,28.81456,25.26061
1783220460,28.2845,82.52995,91,0,205,,1,29.18709,29.11935,24.88849
1783220461,28.49813,82.63676,91,0,204,,1,29.18709,29.72895,25.39588
1783220462,28.38598,82.68101,91,0,205,,1,29.69508,29.55962,25.46361
1783220462,28.41268,82.63676,91,0,204,,1,29.66121,29.01776,26.00507
1783220463,28.39933,82.83208,91,0,205,,1,29.96601,29.59348,26.0726
1783220464,28.38598,82.8275,91,0,204,,2,29.32255,29.55962,25.49748
1783220464,28.49813,82.78325,91,0,205,,1,29.96601,29.49188,25.66661
1783220465,28.41268,82.70847,91,0,203,,1,29.45802,30.37261,25.70047
1783220466,28.49813,82.55283,91,0,205,,1,29.93214,29.59348,25.39588
1783220466,28.41268,82.37431,91,0,204,,2,29.25482,29.72895,25.971
1783220467,28.41268,82.27055,91,0,205,,1,29.22095,29.59348,25.63274
1783220468,28.38598,82.19119,91,0,205,,2,29.79668,29.69508,25.02375
1783220468,28.41268,82.11337,91,0,205,,1,28.71296,29.39028,25.49748
1783220469,28.48478,82.07217,91,0,205,,1,29.76281,28.98389,25.66661
1783220470,28.38598,81.9501,91,0,204,,1,29.18709,29.59348,25.83574
1783220470,28.41268,81.91348,91,0,204,,1,29.72895,29.62735,25.46361
1783220471,28.44205,81.92264,91,0,204,,1,29.42415,29.79668,25.53114
1783220472,28.49813,81.98062,91,0,205,,1,30.03395,28.78069,25.32835
1783220472,28.41268,81.91348,91,0,204,,1,28.84842,28.95002,24.95622
1783220473,28.48478,81.91348,91,0,205,,1,28.64523,29.66121,25.56521
1783220474,28.38598,82.04471,91,0,203,,1,29.69508,28.91616,25.02375
1783220474,28.41268,82.10422,91,0,205,,1,29.32255,29.59348,25.59887
1783220475,28.37263,82.21561,91,0,204,,1,29.39028,29.59348,25.83574
1783220476,28.39933,82.29801,91,0,205,,1,29.42415,29.59348,25.768
1783220476,28.45541,82.54063,91,0,204,,2,29.59348,29.39028,25.36221
1783220477,28.48478,82.62302,91,0,205,,1,29.32255,29.45802,25.19288
1783220478,28.51148,82.78783,91,0,204,,1,29.15322,29.15322,25.29448
1783220479,28.49813,82.97398,91,0,205,,1,29.66121,29.55962,25.53114
1783220479,28.55421,83.18456,91,0,204,,2,29.52575,29.83055,25.42974
1783220480,28.4287,83.21355,91,0,205,,1,29.35642,29.11935,25.09148
1783220481,28.41268,83.3875,91,0,204,,1,30.03395,29.72895,25.59887
1783220481,28.51148,83.53857,91,0,205,,1,29.08549,29.96601,25.12535
1783220482,28.49813,83.74303,91,0,204,,1,29.62735,29.15322,25.70047
1783220483,28.47143,84.02686,91,0,205,,1,29.39028,29.83055,25.39588
1783220483,28.38598,83.95056,91,0,204,,1,29.52575,29.79668,25.32835
1783220484,28.5275,84.14587,91,0,205,,1,29.42415,29.49188,25.42974
1783220485,28.4287,84.0589,91,0,204,,1,29.79668,29.76281,24.92235
1783220485,28.41268,84.15656,91,0,205,,1,29.15322,29.55962,25.46361
1783220486,28.49813,84.39918,91,0,205,,1,29.28868,28.84842,25.59887
1783220487,28.4287,84.3061,91,0,205,,1,29.08549,29.55962,25.22675
1783220487,28.44205,84.21606,91,0,205,,1,29.18709,29.01776,25.8696
1783220488,28.37263,83.97803,91,0,205,,1,29.99988,30.30487,25.42974
1783220489,28.5275,83.82239,91,0,204,,1,29.52575,29.42415,24.78709
1783220489,28.44205,83.52941,91,0,205,,1,29.76281,28.91616,25.53114
1783220490,28.44205,83.28069,91,0,204,,1,28.67909,29.79668,25.29448
1783220491,28.48478,83.30358,91,0,205,,1,29.35642,29.72895,25.53114
1783220491,28.41268,83.08537,91,0,204,,1,29.05162,29.32255,25.53114
1783220492,28.45541,83.08537,91,0,205,,2,29.39028,29.89848,26.00507
1783220493,28.41268,82.98009,91,0,205,,1,29.28868,29.59348,25.39588
1783220493,28.3566,82.91447,91,0,205,,1,29.18709,29.55962,25.49748
1783220494,28.48478,82.88396,91,0,205,,1,29.72895,29.42415,25.8696
1783220495,28.41268,82.81377,91,0,204,,1,30.40647,29.89848,26.1742
1783220495,28.47143,82.90227,91,0,205,,1,29.86441,29.05162,26.1742
