TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1786503600,26.92798,78.58854,90,0,216,,20,27.66331,27.05412,22.11589
1786503601,26.88525,78.58854,90,0,216,,0,27.66331,27.02005,22.04836
1786503601,26.92798,78.64042,90,0,216,,0,27.66331,27.05412,22.21729
1786503602,26.95468,78.58396,90,0,216,,19,27.66331,26.98638,22.18362
1786503603,26.94133,78.7686,90,0,216,,25,27.69717,27.05412,22.25135
1786503603,26.88525,78.68162,90,0,216,,0,27.69717,27.02005,22.21729
1786503604,26.95468,78.63584,90,0,217,,0,27.69717,27.05412,22.18362
1786503605,26.95468,78.69993,90,0,216,,13,27.69717,27.02005,22.25135
1786503606,26.88525,78.59922,90,0,216,,16,27.62944,27.02005,22.18362
1786503606,26.95468,78.65873,90,0,216,,0,27.69717,26.98638,22.01469
1786503607,26.94133,78.59312,90,0,216,,0,27.66331,27.12165,22.25135
1786503608,27.02411,78.62211,90,0,216,,20,27.69717,27.02005,22.14976
1786503608,26.84253,78.66178,90,0,216,,20,27.66331,27.05412,22.18362
1786503609,26.92798,78.76402,90,0,216,,0,27.73104,27.12165,22.18362
1786503610,26.86923,78.616,90,0,216,,0,27.69717,26.95252,22.14976
1786503610,26.98405,78.7686,90,0,216,,24,27.73104,26.91865,22.08222
1786503611,26.92798,78.65263,90,0,216,,21,27.73104,27.12165,22.28502
1786503612,26.82918,78.65873,90,0,216,,0,27.66331,27.02005,22.21729
1786503612,26.94133,78.645,90,0,216,,0,27.66331,26.88478,22.18362
1786503613,26.91195,78.73045,90,0,216,,33,27.73104,26.91865,22.14976
1786503614,26.86923,78.64805,90,0,216,,16,27.66331,27.08778,22.11589
1786503614,26.94133,78.6862,90,0,217,,0,27.69717,27.05412,22.18362
1786503615,26.92798,78.81743,90,0,216,,0,27.7649,27.05412,22.14976
1786503616,27.01076,78.85863,90,0,217,,14,27.69717,27.08778,22.11589
1786503616,27.02411,78.7686,90,0,216,,8,27.73104,27.02005,22.21729
1786503617,26.85588,78.69535,90,0,217,,0,27.62944,26.95252,22.14976
1786503618,26.95468,78.73197,90,0,216,,0,27.73104,27.08778,22.21729
1786503618,26.98405,78.6862,90,0,216,,24,27.69717,27.08778,22.25135
1786503619,26.96803,78.64957,90,0,216,,10,27.66331,27.05412,22.11589
1786503620,26.99741,78.78233,90,0,216,,0,27.69717,27.05412,22.08222
1786503620,26.8986,78.66636,90,0,216,,0,27.66331,27.05412,22.14976
1786503621,26.82918,78.60685,90,0,216,,28,27.66331,27.02005,22.14976
1786503622,26.8986,78.67551,90,0,216,,6,27.69717,26.98638,22.11589
1786503622,26.96803,78.81743,90,0,216,,0,27.69717,26.98638,22.18362
1786503623,26.91195,78.616,90,0,216,,0,27.66331,27.05412,22.21729
1786503624,26.95468,78.66788,90,0,216,,24,27.69717,26.98638,22.14976
1786503625,26.86923,78.77165,90,0,216,,13,27.66331,27.18938,22.18362
1786503625,26.96803,78.71366,90,0,216,,0,27.66331,27.08778,22.11589
1786503626,26.96803,78.67246,90,0,216,,0,27.69717,27.05412,22.11589
1786503627,26.95468,78.63584,90,0,216,,23,27.69717,26.98638,22.11589
1786503627,26.91195,78.77165,90,0,216,,24,27.66331,26.98638,22.21729
1786503628,26.88525,78.68162,90,0,216,,0,27.66331,27.02005,22.14976
1786503629,26.95468,78.7396,90,0,216,,0,27.69717,27.05412,22.18362
1786503629,26.92798,78.78539,90,0,216,,27,27.69717,27.05412,22.21729
1786503630,26.94133,78.8098,90,0,216,,22,27.69717,27.08778,22.18362
1786503631,26.96803,78.71366,90,0,216,,0,27.66331,27.08778,22.14976
1786503631,26.92798,78.75487,90,0,216,,0,27.69717,27.08778,22.18362
1786503632,26.95468,78.65873,90,0,216,,22,27.66331,26.95252,22.21729
1786503633,26.92798,78.64042,90,0,216,,25,27.66331,27.12165,22.18362
1786503633,26.91195,78.78233,90,0,216,,0,27.66331,27.12165,22.25135
1786503634,26.95468,78.69993,90,0,216,,0,27.69717,27.02005,22.18362
1786503635,26.92798,78.72587,90,0,216,,13,27.73104,27.05412,22.18362
1786503635,26.91195,78.68925,90,0,216,,13,27.69717,26.98638,22.14976
1786503636,26.8986,78.72587,90,0,216,,0,27.69717,27.02005,22.18362
1786503637,27.01076,78.59922,90,0,216,,0,27.59557,26.98638,22.25135
1786503637,26.91195,78.66788,90,0,216,,8,27.66331,27.08778,22.14976
1786503638,26.94133,78.62211,90,0,216,,25,27.66331,27.08778,22.11589
1786503639,26.92798,78.75487,90,0,216,,0,27.62944,27.05412,22.18362
1786503639,26.88525,78.73197,90,0,216,,0,27.66331,27.08778,22.21729
1786503640,26.95468,78.65873,90,0,216,,9,27.73104,27.02005,22.11589
1786503641,26.98405,78.65415,90,0,216,,21,27.66331,27.02005,22.21729
1786503641,26.94133,78.7686,90,0,216,,0,27.73104,27.05412,22.28502
1786503642,27.01076,78.58854,90,0,216,,0,27.66331,27.02005,22.11589
1786503643,26.91195,78.68925,90,0,216,,5,27.69717,27.15551,22.11589
1786503644,26.92798,78.68162,90,0,216,,28,27.62944,27.05412,22.28502
1786503644,26.94133,78.645,90,0,217,,0,27.69717,27.05412,22.04836
1786503645,26.98405,78.67551,90,0,216,,0,27.7649,27.02005,22.18362
1786503646,26.96803,78.70298,90,0,216,,1,27.62944,27.12165,22.18362
1786503646,26.86923,78.77165,90,0,216,,15,27.69717,26.95252,22.21729
1786503647,26.92798,78.67246,90,0,216,,0,27.69717,27.05412,22.18362
1786503648,26.91195,78.68009,90,0,216,,0,27.69717,27.08778,22.21729
1786503648,26.8986,78.69535,90,0,216,,0,27.66331,27.05412,22.21729
1786503649,26.91195,78.75028,90,0,216,,16,27.66331,27.02005,22.18362
1786503650,26.96803,78.67246,90,0,216,,0,27.62944,27.12165,22.14976
1786503650,26.94133,78.74876,90,0,216,,0,27.62944,27.05412,22.14976
1786503651,26.96803,78.78539,90,0,216,,1,27.66331,27.05412,22.14976
1786503652,26.95468,78.62669,90,0,216,,29,27.62944,27.08778,22.21729
1786503652,26.91195,78.63584,90,0,216,,0,27.73104,26.98638,22.18362
1786503653,26.88525,78.67246,90,0,216,,0,27.66331,27.05412,22.18362
1786503654,26.8986,78.70756,90,0,216,,9,27.66331,27.05412,22.11589
1786503654,26.94133,78.6862,90,0,216,,21,27.69717,27.02005,22.18362
1786503655,26.85588,78.57023,90,0,216,,0,27.66331,27.02005,22.18362
1786503656,26.8986,78.57023,90,0,216,,0,27.66331,27.02005,22.18362
1786503656,26.86923,78.7396,90,0,216,,20,27.66331,27.05412,22.18362
1786503657,26.85588,78.851,90,0,216,,16,27.59557,27.08778,22.21729
1786503658,26.94133,78.70756,90,0,216,,0,27.66331,26.98638,22.18362
1786503658,26.86923,78.616,90,0,216,,0,27.66331,26.98638,22.14976
1786503659,26.94133,78.645,90,0,216,,23,27.66331,27.02005,22.14976
1786503660,26.86923,78.62669,90,0,216,,4,27.66331,27.12165,22.14976
1786503661,26.92798,78.67246,90,0,216,,0,27.66331,27.02005,22.14976
1786503661,26.86923,78.68009,90,0,216,,0,27.73104,27.08778,22.14976
1786503662,26.91195,78.7396,90,0,216,,15,27.62944,27.08778,22.11589
1786503663,26.86923,78.68009,90,0,216,,0,27.66331,27.12165,22.14976
1786503663,26.94133,78.66636,90,0,216,,0,27.66331,27.08778,22.21729
1786503664,26.92798,78.66178,90,0,216,,5,27.66331,27.02005,22.14976
1786503665,26.85588,78.6862,90,0,216,,14,27.69717,27.12165,22.14976
1786503665,26.92798,78.62058,90,0,216,,0,27.62944,27.15551,22.28502
1786503666,27.02411,78.70756,90,0,216,,0,27.69717,27.05412,22.14976
1786503667,26.92798,78.75487,90,0,216,,13,27.66331,27.05412,22.18362
1786503667,26.94133,78.67551,90,0,216,,18,27.69717,27.05412,22.18362
1786503668,26.92798,78.74418,90,0,216,,0,27.66331,27.02005,22.18362
1786503669,26.8986,78.70756,90,0,216,,0,27.62944,27.02005,22.08222
1786503669,26.96803,78.66178,90,0,216,,14,27.66331,27.08778,22.14976
1786503670,26.8986,78.60227,90,0,216,,0,27.62944,27.02005,22.14976
1786503671,27.01076,78.78539,90,0,216,,0,27.73104,27.12165,22.14976
1786503671,26.96803,78.77623,90,0,216,,7,27.62944,27.02005,22.11589
1786503672,26.98405,78.7396,90,0,216,,22,27.62944,27.02005,22.21729
1786503673,26.94133,78.66636,90,0,216,,0,27.73104,27.05412,22.21729
1786503673,26.94133,78.78996,90,0,216,,0,27.66331,26.98638,22.11589
1786503674,26.96803,78.57023,90,0,217,,12,27.66331,27.05412,22.18362
1786503675,26.98405,78.74876,90,0,216,,12,27.69717,27.08778,22.21729
1786503675,26.82918,78.62669,90,0,216,,0,27.66331,26.98638,22.18362
1786503676,26.84253,78.73197,90,0,216,,0,27.62944,27.05412,22.14976
1786503677,26.85588,78.64347,90,0,216,,19,27.56171,27.05412,22.18362
1786503677,26.88525,78.79607,90,0,216,,0,27.66331,26.98638,22.11589
1786503678,26.98405,78.61295,90,0,216,,0,27.62944,27.15551,22.14976
1786503679,26.86923,78.66788,90,0,216,,16,27.69717,27.05412,22.21729
1786503680,26.88525,78.77623,90,0,216,,19,27.62944,26.98638,22.18362
1786503680,26.85588,78.62211,90,0,216,,0,27.59557,27.02005,22.18362
1786503681,26.91195,78.89525,90,0,216,,0,27.62944,27.02005,22.11589
1786503682,26.8986,78.71671,90,0,216,,25,27.62944,27.05412,22.18362
1786503682,26.86923,78.66788,90,0,216,,7,27.59557,26.98638,22.11589
1786503683,26.95468,78.79149,90,0,216,,0,27.62944,26.98638,22.18362
1786503684,26.98405,78.6862,90,0,216,,0,27.62944,27.12165,22.18362
1786503684,26.92798,78.70451,90,0,216,,10,27.62944,26.98638,22.25135
1786503685,26.86923,78.46037,90,0,216,,0,27.66331,26.98638,22.21729
1786503686,26.95468,78.68925,90,0,217,,0,27.69717,27.08778,22.14976
1786503686,26.96803,78.77623,90,0,216,,6,27.66331,27.08778,22.11589
1786503687,26.86923,78.6572,90,0,216,,21,27.66331,27.05412,22.21729
1786503688,26.85588,78.6862,90,0,216,,0,27.62944,27.08778,22.08222
1786503688,26.88525,78.70298,90,0,216,,0,27.62944,27.08778,22.14976
1786503689,26.86923,78.68925,90,0,216,,21,27.62944,27.08778,22.18362
1786503690,26.96803,78.76402,90,0,216,,14,27.62944,27.05412,22.14976
1786503690,26.98405,78.75792,90,0,216,,0,27.62944,27.05412,22.11589
1786503691,26.94133,78.645,90,0,216,,0,27.62944,27.12165,22.21729
1786503692,26.91195,78.6572,90,0,216,,27,27.66331,26.95252,22.11589
1786503692,26.82918,78.54276,90,0,216,,21,27.62944,27.02005,22.18362
1786503693,26.91195,78.72129,90,0,216,,1,27.66331,26.98638,22.11589
1786503694,26.8986,78.69535,90,0,216,,0,27.62944,27.12165,22.18362
1786503694,26.91195,78.93797,90,0,217,,1,27.59557,27.18938,22.11589
1786503695,26.96803,79.42779,90,0,216,,5,27.62944,27.08778,22.25135
1786503696,26.8986,79.69176,90,0,216,,0,27.62944,27.05412,22.04836
1786503696,26.94133,79.9527,90,0,216,,0,27.66331,26.98638,22.25135
1786503697,26.92798,80.05035,90,0,216,,27,27.59557,27.05412,22.28502
1786503698,26.95468,80.12207,90,0,216,,0,27.59557,27.08778,22.14976
1786503699,26.92798,80.13275,90,0,216,,0,27.66331,27.02005,22.21729
1786503699,26.92798,79.98932,90,0,216,,2,27.59557,27.02005,22.25135
1786503700,26.95468,79.95422,90,0,216,,27,27.59557,27.05412,22.04836
1786503701,26.92798,79.98932,90,0,216,,0,27.62944,27.08778,22.18362
1786503701,26.8986,79.80621,90,0,216,,0,27.59557,27.02005,22.14976
1786503702,26.88525,79.80164,90,0,216,,17,27.62944,27.05412,22.21729
1786503703,26.96803,79.86572,90,0,216,,21,27.62944,27.08778,22.25135
1786503703,26.94133,80.01373,90,0,216,,0,27.62944,26.95252,22.18362
1786503704,26.92798,79.85352,90,0,216,,0,27.66331,27.02005,22.18362
1786503705,26.94133,79.79706,90,0,217,,3,27.62944,27.08778,22.11589
1786503705,26.96803,79.81232,90,0,216,,22,27.62944,27.05412,22.11589
1786503706,26.86923,79.76654,90,0,216,,0,27.66331,27.02005,22.28502
1786503707,26.86923,79.67345,90,0,216,,0,27.62944,27.05412,22.21729
1786503707,26.96803,79.62768,90,0,216,,32,27.62944,27.08778,22.11589
1786503708,26.95468,79.68414,90,0,216,,21,27.66331,27.08778,22.14976
1786503709,26.98405,79.57885,90,0,216,,0,27.62944,26.91865,22.14976
1786503709,26.82918,79.49645,90,0,216,,0,27.62944,27.08778,22.28502
1786503710,26.88525,79.65667,90,0,216,,27,27.66331,27.05412,22.14976
1786503711,26.88525,79.3988,90,0,216,,2,27.62944,27.08778,22.14976
1786503711,26.92798,79.50103,90,0,216,,0,27.59557,27.08778,22.18362
1786503712,26.94133,79.44457,90,0,216,,0,27.62944,26.98638,22.11589
1786503713,26.96803,79.45983,90,0,216,,23,27.59557,27.05412,22.04836
1786503713,26.91195,79.50866,90,0,216,,0,27.56171,27.05412,22.21729
1786503714,26.98405,79.45373,90,0,217,,0,27.62944,27.12165,22.14976
1786503715,26.86923,79.39422,90,0,216,,8,27.69717,26.95252,22.21729
1786503715,26.94133,79.34844,90,0,216,,11,27.59557,27.08778,22.18362
1786503716,26.96803,79.33624,90,0,216,,0,27.62944,27.08778,22.08222
1786503717,26.88525,79.28436,90,0,216,,0,27.62944,27.05412,22.18362
1786503718,26.92798,79.36675,90,0,216,,24,27.66331,27.08778,22.14976
1786503718,26.99741,79.18822,90,0,216,,9,27.66331,27.02005,22.18362
1786503719,26.98405,79.34081,90,0,216,,0,27.59557,27.05412,22.25135
1786503720,26.88525,79.35455,90,0,216,,2,27.66331,27.05412,22.18362
1786503720,26.94133,79.28893,90,0,216,,29,27.62944,26.98638,22.14976
1786503721,26.99741,79.11497,90,0,216,,0,27.66331,27.02005,22.18362
1786503722,26.88525,79.14854,90,0,216,,0,27.62944,27.05412,22.14976
1786503722,26.92798,79.18059,90,0,216,,34,27.69717,27.05412,22.18362
1786503723,26.85588,79.13023,90,0,216,,10,27.59557,27.05412,22.08222
1786503724,26.88525,79.14854,90,0,216,,0,27.62944,27.05412,22.11589
1786503724,26.92798,79.23094,90,0,217,,0,27.59557,27.05412,22.18362
1786503725,26.85588,79.14244,90,0,216,,20,27.66331,27.05412,22.25135
1786503726,26.8986,79.12108,90,0,216,,0,27.62944,26.98638,22.11589
1786503726,26.92798,79.11955,90,0,216,,0,27.62944,27.02005,22.18362
1786503727,26.88525,79.12871,90,0,216,,19,27.62944,26.98638,22.14976
1786503728,26.8986,79.13023,90,0,216,,0,27.66331,27.05412,22.11589
1786503728,26.88525,79.21111,90,0,216,,0,27.66331,27.12165,22.14976
1786503729,26.7998,79.06462,90,0,216,,10,27.62944,27.12165,22.18362
1786503730,26.99741,79.03258,90,0,216,,25,27.62944,27.08778,22.14976
1786503730,26.91195,79.05089,90,0,216,,0,27.62944,27.12165,22.21729
1786503731,26.85588,79.20348,90,0,216,,0,27.66331,26.91865,22.18362
1786503732,26.91195,79.15617,90,0,216,,19,27.62944,26.98638,22.14976
1786503732,26.92798,79.17143,90,0,216,,0,27.62944,27.02005,22.21729
1786503733,26.88525,79.09666,90,0,216,,0,27.62944,27.08778,22.18362
1786503734,26.88525,79.09666,90,0,216,,18,27.66331,27.02005,22.21729
1786503735,26.8986,79.16228,90,0,217,,9,27.66331,26.98638,22.14976
1786503735,26.94133,79.1104,90,0,216,,0,27.69717,26.98638,22.21729
1786503736,26.86923,79.14397,90,0,216,,0,27.66331,27.02005,22.21729
1786503737,26.99741,79.1989,90,0,216,,21,27.62944,27.02005,22.25135
1786503737,26.96803,79.12871,90,0,216,,0,27.62944,27.08778,22.21729
1786503738,26.8986,79.21263,90,0,216,,0,27.66331,27.05412,22.14976
1786503739,26.8986,79.27673,90,0,216,,24,27.66331,27.05412,22.18362
