TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1785294000,33.21393,75.08354,90,1,234,,1,36.3748,34.98346,31.52487
1785294000,33.25666,75.14763,90,1,234,,1,36.34093,34.88166,31.55873
1785294001,33.22728,75.16441,90,1,234,,1,36.34093,35.0514,31.3892
1785294002,33.21393,75.21477,90,1,234,,1,36.40867,35.01733,31.45693
1785294002,33.18456,75.21935,90,1,235,,1,36.34093,34.88166,31.32147
1785294003,33.20058,75.16594,90,1,234,,1,36.30707,35.08526,31.5926
1785294004,33.10178,75.21019,90,2,234,,1,36.3748,34.9496,31.3892
1785294004,33.12848,75.12932,90,1,234,,1,36.34093,34.9496,31.52487
1785294005,33.10178,75.02403,90,1,234,,1,36.34093,34.84779,31.52487
1785294006,33.15786,75.22392,90,2,234,,1,36.34093,35.08526,31.4908
1785294006,33.10178,75.1339,90,2,234,,1,36.40867,34.88166,31.52487
1785294007,33.11513,75.22392,90,2,234,,1,36.273,35.0514,31.45693
1785294008,33.0724,75.24681,90,1,234,,1,36.40867,35.08526,31.35534
1785294009,33.05905,75.16899,90,1,235,,1,36.273,34.9496,31.4908
1785294009,33.18456,75.40246,90,1,234,,1,36.23913,35.15319,31.52487
1785294010,33.08575,75.32616,90,1,234,,1,36.51047,35.11913,31.2876
1785294011,33.08575,75.41314,90,1,234,,1,36.3748,35.11913,31.35534
1785294011,33.02968,75.37957,90,1,234,,1,36.3748,35.08526,31.3892
1785294012,33.05905,75.3399,90,1,234,,1,36.34093,35.0514,31.52487
1785294013,33.05905,75.39483,90,1,234,,1,36.30707,35.0514,31.4908
1785294013,33.0724,75.43145,90,1,235,,1,36.34093,35.01733,31.45693
1785294014,33.12848,75.15068,90,1,235,,1,36.30707,35.01733,31.3892
1785294015,33.00298,75.09117,90,1,235,,1,36.23913,35.11913,31.42307
1785294015,33.15786,75.0927,90,1,234,,1,36.3748,34.98346,31.3892
1785294016,33.14183,75.25292,90,1,234,,1,36.30707,35.08526,31.45693
1785294017,33.32608,75.5993,90,2,234,,1,36.40867,35.0514,31.45693
1785294017,33.17121,75.60845,90,1,234,,1,36.34093,35.08526,31.4908
1785294018,33.20058,75.58099,90,2,234,,1,36.30707,34.98346,31.3892
1785294019,33.28336,75.3933,90,2,234,,1,36.3748,35.01733,31.42307
1785294019,33.31273,75.38873,90,2,234,,1,36.23913,35.01733,31.3892
1785294020,33.29671,75.20103,90,2,234,,1,36.1712,35.08526,31.2876
1785294021,33.28336,75.29717,90,1,234,,1,36.40867,35.0514,31.6942
1785294021,33.29671,75.33074,90,1,234,,1,36.3748,35.08526,31.35534
1785294022,33.24063,75.23003,90,1,234,,1,36.273,34.9496,31.52487
1785294023,33.24063,75.22087,90,1,234,,1,36.30707,35.18706,31.45693
1785294023,33.25666,75.01793,90,1,234,,1,36.30707,35.0514,31.4908
1785294024,33.31273,75.12932,90,2,234,,1,36.273,34.9496,31.42307
1785294025,33.27001,75.04234,90,2,235,,1,36.30707,35.01733,31.55873
1785294025,33.31273,75.18425,90,1,234,,1,36.1712,34.98346,31.4908
1785294026,33.24063,75.04692,90,1,234,,1,36.3748,35.01733,31.42307
1785294027,33.25666,75.13847,90,1,234,,1,36.273,35.15319,31.5926
1785294028,33.32608,75.08812,90,1,234,,1,36.30707,35.0514,31.35534
1785294028,33.35546,75.2346,90,1,234,,1,36.3748,35.01733,31.55873
1785294029,33.39819,75.20256,90,1,234,,1,36.40867,35.11913,31.32147
1785294030,33.32608,75.19646,90,1,234,,1,36.3748,34.91553,31.3892
1785294030,33.35546,75.15068,90,1,234,,1,36.273,35.0514,31.55873
1785294031,33.31273,75.12932,90,1,234,,1,36.34093,34.98346,31.3892
1785294032,33.35546,75.19341,90,1,234,,1,36.30707,35.01733,31.3892
1785294032,33.44091,74.98436,90,1,235,,1,36.273,35.18706,31.45693
1785294033,33.44091,74.84245,90,1,234,,1,36.3748,34.9496,31.52487
1785294034,33.42756,74.92638,90,1,234,,1,36.23913,35.0514,31.4908
1785294034,33.38216,74.92638,90,1,234,,1,36.34093,35.11913,31.32147
1785294035,33.41421,75.0103,90,1,234,,1,36.34093,34.98346,31.32147
1785294036,33.35546,74.91112,90,1,234,,1,36.34093,35.22093,31.4908
1785294036,33.33944,75.01488,90,1,234,,1,36.273,35.11913,31.4908
1785294037,33.29671,74.97215,90,1,234,,1,36.30707,35.11913,31.42307
1785294038,33.35546,74.77989,90,1,234,,1,36.30707,35.0514,31.3892
1785294038,33.33944,74.76463,90,2,234,,1,36.30707,34.98346,31.55873
1785294039,33.33944,74.77531,90,1,234,,1,36.273,35.08526,31.55873
1785294040,33.27001,74.76006,90,2,234,,1,36.34093,35.15319,31.4908
1785294040,33.35546,74.7921,90,1,234,,1,36.34093,35.0514,31.52487
1785294041,33.36881,74.75089,90,1,234,,1,36.40867,35.0514,31.66033
1785294042,33.22728,74.84856,90,2,234,,1,36.30707,35.01733,31.32147
1785294042,33.21393,74.82414,90,1,234,,1,36.34093,35.08526,31.52487
1785294043,33.27001,74.81499,90,1,235,,1,36.3748,34.98346,31.2876
1785294044,33.38216,74.92638,90,1,234,,1,36.3748,34.91553,31.4908
1785294044,33.27001,74.97978,90,2,234,,1,36.3748,35.0514,31.55873
1785294045,33.25666,75.02708,90,2,234,,1,36.273,35.08526,31.5926
1785294046,33.24063,74.90654,90,2,234,,1,36.1712,34.88166,31.55873
1785294047,33.24063,74.91722,90,2,234,,1,36.30707,34.91553,31.35534
1785294047,33.28336,75.03319,90,2,234,,1,36.34093,34.88166,31.3892
1785294048,33.38216,75.23003,90,1,234,,1,36.34093,34.88166,31.45693
1785294049,33.22728,75.23918,90,1,234,,1,36.273,34.98346,31.35534
1785294049,33.36881,75.12932,90,1,234,,1,36.34093,35.11913,31.45693
1785294050,33.33944,75.15678,90,1,234,,1,36.3748,35.15319,31.52487
1785294051,33.28336,74.98131,90,2,234,,1,36.30707,34.98346,31.42307
1785294051,33.38216,74.81956,90,2,234,,1,36.30707,34.9496,31.35534
1785294052,33.41421,74.81499,90,2,234,,1,36.44273,34.88166,31.35534
1785294053,33.33944,74.78752,90,1,234,,1,36.3748,35.11913,31.25353
1785294053,33.29671,74.78905,90,1,234,,1,36.34093,35.08526,31.35534
1785294054,33.24063,74.64561,90,1,234,,1,36.30707,35.0514,31.55873
1785294055,33.33944,74.92943,90,1,234,,1,36.3748,35.0514,31.55873
1785294055,33.36881,74.82567,90,1,234,,1,36.40867,35.11913,31.3892
1785294056,33.32608,74.78447,90,1,234,,1,36.273,35.18706,31.2876
1785294057,33.27001,74.80583,90,1,234,,1,36.30707,35.0514,31.4908
1785294057,33.33944,74.90654,90,1,234,,1,36.34093,35.08526,31.3892
1785294058,33.35546,74.65018,90,1,234,,1,36.23913,34.91553,31.32147
1785294059,33.39819,74.88518,90,1,234,,1,36.30707,35.0514,31.52487
1785294059,33.36881,74.82567,90,1,234,,1,36.30707,35.15319,31.45693
1785294060,33.36881,74.76158,90,1,234,,1,36.34093,34.91553,31.3892
1785294061,33.39819,74.78905,90,1,234,,1,36.23913,34.9496,31.42307
1785294061,33.27001,74.70512,90,1,234,,1,36.30707,35.255,31.45693
1785294062,33.36881,74.80583,90,1,235,,1,36.30707,35.08526,31.35534
1785294063,33.35546,74.68223,90,2,234,,1,36.3748,35.01733,31.35534
