TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
1785380400,33.55306,72.52766,90,2,241,,1,35.79786,34.06766,30.9826
1785380400,33.62516,72.37049,90,2,242,,1,35.8658,33.89813,31.05034
1785380401,33.51301,72.3888,90,1,242,,1,35.764,33.96586,31.15194
1785380402,33.51301,72.4773,90,2,242,,1,35.69606,33.89813,31.11807
1785380402,33.51301,72.32471,90,1,242,,1,35.73013,34.03379,31.1858
1785380403,33.51301,72.39948,90,1,242,,1,35.83173,34.03379,31.15194
1785380404,33.53971,72.52613,90,1,242,,1,35.69606,33.86406,31.11807
1785380404,33.52636,72.5124,90,2,242,,1,35.73013,33.96586,31.0842
1785380405,33.53971,72.49104,90,1,242,,1,35.764,33.72839,31.15194
1785380406,33.41421,72.54139,90,1,242,,1,35.73013,33.89813,31.15194
1785380407,33.47028,72.62836,90,1,242,,1,35.79786,33.96586,31.0842
1785380407,33.49699,72.62684,90,1,242,,1,35.83173,33.79633,31.0842
1785380408,33.51301,72.59632,90,1,242,,1,35.79786,33.932,31.1858
1785380409,33.49699,72.60395,90,1,242,,1,35.73013,33.86406,31.15194
1785380409,33.44091,72.73365,90,1,242,,1,35.73013,33.83019,31.11807
1785380410,33.52636,72.63294,90,1,242,,1,35.8658,33.932,31.05034
1785380411,33.53971,72.56886,90,1,242,,1,35.93353,34.03379,30.94874
1785380411,33.49699,72.62684,90,1,242,,1,35.764,33.79633,31.01647
1785380412,33.55306,72.64668,90,1,242,,1,35.8658,33.79633,31.11807
1785380413,33.51301,72.71534,90,1,242,,1,35.73013,33.72839,31.0842
1785380413,33.52636,72.66346,90,1,242,,1,35.8658,33.86406,31.11807
1785380414,33.59579,72.61463,90,1,242,,1,35.764,34.03379,31.35534
1785380415,33.42756,72.70924,90,1,242,,1,35.73013,33.69453,31.1858
1785380415,33.49699,72.67872,90,1,242,,1,35.89967,33.99973,31.05034
1785380416,33.42756,72.6421,90,1,242,,1,35.8658,33.96586,31.11807
1785380417,33.45426,72.69245,90,1,242,,1,35.764,33.79633,31.11807
1785380417,33.45426,72.72449,90,1,242,,1,35.69606,33.83019,31.11807
1785380418,33.45426,72.69245,90,1,242,,1,35.764,33.86406,31.05034
1785380419,33.45426,72.72449,90,1,242,,1,35.79786,33.79633,31.0842
1785380419,33.45426,72.70161,90,1,242,,1,35.8658,33.86406,31.15194
1785380420,33.52636,72.79622,90,1,242,,1,35.83173,33.89813,31.1858
1785380421,33.45426,72.75655,90,1,242,,1,35.8658,33.96586,31.01647
1785380421,33.52636,72.82826,90,1,242,,1,35.764,33.79633,31.0842
1785380422,33.49699,72.67872,90,2,242,,1,35.73013,33.72839,31.11807
1785380423,33.47028,72.66346,90,1,242,,1,35.83173,33.96586,31.11807
1785380423,33.44091,72.82979,90,2,242,,1,35.73013,33.89813,31.11807
1785380424,33.51301,72.66041,90,1,242,,1,35.83173,33.96586,31.05034
1785380425,33.55306,72.61768,90,1,242,,1,35.764,33.96586,31.1858
1785380426,33.44091,72.62226,90,1,242,,1,35.73013,33.96586,31.01647
1785380426,33.52636,72.68635,90,1,242,,1,35.73013,33.83019,31.0842
1785380427,33.44091,72.59174,90,1,242,,1,35.6622,33.83019,31.05034
1785380428,33.44091,72.66804,90,1,242,,1,35.69606,33.89813,31.15194
1785380428,33.48363,72.54597,90,1,242,,1,35.764,33.99973,31.05034
1785380429,33.42756,72.59937,90,1,242,,1,35.79786,33.96586,30.9826
1785380430,33.56908,72.73823,90,1,241,,1,35.73013,33.83019,31.11807
1785380430,33.45426,72.76875,90,1,242,,1,35.79786,33.79633,31.0842
1785380431,33.42756,72.74128,90,1,242,,1,35.79786,33.89813,31.15194
1785380432,33.41421,72.67262,90,1,242,,1,35.79786,33.932,31.0842
1785380432,33.41421,72.70466,90,1,243,,1,35.79786,33.932,31.11807
1785380433,33.38216,72.81911,90,1,242,,1,35.764,33.932,31.1858
1785380434,33.41421,72.77028,90,1,242,,1,35.83173,33.89813,31.21967
1785380434,33.38216,72.75502,90,1,242,,1,35.764,33.89813,31.11807
1785380435,33.45426,72.8008,90,1,242,,1,35.69606,33.86406,31.01647
1785380436,33.39819,72.85268,90,2,242,,1,35.764,33.89813,31.05034
1785380436,33.47028,72.82521,90,2,242,,1,35.764,34.13559,31.21967
1785380437,33.41421,72.77943,90,2,242,,1,35.79786,33.932,31.15194
1785380438,33.39819,72.83284,90,2,242,,1,35.764,33.89813,31.0842
1785380438,33.45426,72.89845,90,2,242,,1,35.764,33.86406,31.11807
1785380439,33.42756,72.86031,90,1,242,,1,35.8658,34.03379,31.01647
1785380440,33.51301,72.97627,90,2,242,,1,35.79786,33.66066,31.05034
1785380440,33.45426,72.96254,90,2,242,,1,35.73013,33.83019,31.11807
1785380441,33.42756,72.87099,90,2,242,,1,35.8658,33.79633,31.15194
1785380442,33.48363,72.89388,90,2,242,,1,35.79786,33.89813,31.05034
1785380443,33.36881,72.83742,90,2,242,,1,35.79786,33.932,31.0842
1785380443,33.44091,72.90761,90,2,242,,1,35.8658,33.86406,31.25353
1785380444,33.35546,72.8893,90,2,242,,1,35.83173,33.79633,31.05034
1785380445,33.32608,72.87099,90,2,242,,1,35.73013,33.89813,31.01647
1785380445,33.42756,72.94728,90,2,242,,1,35.79786,33.83019,31.15194
1785380446,33.41421,72.84657,90,2,242,,1,35.6622,33.89813,30.9826
1785380447,33.29671,72.86488,90,2,242,,1,35.83173,33.83019,31.01647
1785380447,33.42756,72.82826,90,1,242,,1,35.764,33.86406,31.0842
1785380448,33.36881,72.96712,90,1,241,,1,35.8658,33.86406,31.1858
1785380449,33.25666,72.86641,90,1,241,,1,35.73013,34.10153,31.11807
1785380449,33.41421,73.00832,90,2,242,,1,35.8658,33.96586,31.0842
1785380450,33.36881,72.98848,90,2,242,,1,35.764,33.86406,31.0842
1785380451,33.29671,72.9839,90,2,242,,1,35.69606,33.932,31.3892
1785380451,33.25666,73.06325,90,2,242,,1,35.6622,33.76226,31.01647
1785380452,33.32608,72.88319,90,2,242,,1,35.73013,33.89813,31.05034
1785380453,33.38216,72.86183,90,2,242,,1,35.83173,33.83019,31.11807
1785380453,33.28336,72.87404,90,2,242,,1,35.8658,33.96586,31.25353
1785380454,33.36881,72.91524,90,2,242,,1,35.83173,33.76226,30.9826
1785380455,33.32608,73.05714,90,2,242,,1,35.83173,33.96586,31.1858
1785380455,33.29671,73.01747,90,2,242,,1,35.69606,33.79633,31.05034
1785380456,33.22728,72.99001,90,2,242,,1,35.83173,33.86406,31.0842
1785380457,33.33944,73.04799,90,2,242,,1,35.73013,33.79633,31.05034
1785380457,33.35546,72.97475,90,2,242,,1,35.73013,33.96586,30.9826
1785380458,33.36881,73.1075,90,1,242,,1,35.79786,33.83019,31.15194
1785380459,33.32608,73.18684,90,2,241,,1,35.73013,33.89813,31.0842
1785380459,33.35546,73.18227,90,1,242,,1,35.79786,33.86406,31.21967
1785380460,33.35546,73.05257,90,2,242,,1,35.73013,33.932,31.0842
1785380461,33.28336,73.06783,90,1,242,,1,35.8658,33.89813,31.15194
1785380461,33.33944,72.92592,90,2,242,,1,35.79786,33.79633,31.01647
1785380462,33.36881,73.08919,90,2,243,,1,35.83173,33.79633,31.11807
1785380463,33.36881,73.15327,90,2,242,,1,35.79786,33.86406,30.9826
1785380464,33.35546,73.11665,90,2,242,,1,35.6622,33.83019,31.11807
1785380464,33.38216,73.29671,90,2,242,,1,35.69606,33.76226,31.1858
1785380465,33.35546,73.2372,90,2,242,,1,35.69606,33.96586,31.05034
1785380466,33.33944,73.07088,90,1,242,,1,35.83173,33.83019,31.01647
1785380466,33.31273,73.19447,90,2,242,,1,35.73013,33.932,31.11807
1785380467,33.28336,73.17616,90,2,242,,1,35.69606,33.89813,31.11807
1785380468,33.33944,73.05867,90,2,242,,1,35.62833,34.03379,31.01647
1785380468,33.38216,73.11208,90,2,242,,1,35.79786,33.86406,31.05034
1785380469,33.36881,73.16243,90,2,242,,1,35.83173,33.76226,31.11807
1785380470,33.31273,73.07545,90,2,241,,1,35.79786,33.83019,31.05034
1785380470,33.35546,73.0724,90,2,242,,1,35.69606,33.89813,31.15194
1785380471,33.36881,73.21736,90,2,242,,1,35.83173,33.72839,31.15194
1785380472,33.39819,73.18074,90,2,241,,1,35.79786,33.69453,31.05034
1785380472,33.42756,73.16396,90,2,243,,1,35.8658,33.99973,31.0842
