TS,Tamb,Hamb,DirVento,VelVento,NivelAgua,NivelAguaC,radSolar,Ttanque1,Ttanque2,Ttanque3
832499203,21.80362,80.58137,19.70675,0,23.75367,-2,1.759531,21.50771,24.99009,25.971
832499213,21.97185,80.65766,28.8563,0,26.49071,-2,0,21.77803,24.85462,26.41106
832499243,22.327,79.92981,28.5044,0,26.78397,-2,0,22.28502,24.99009,26.10646
832499253,22.41245,80.16479,32.37537,0.762463,26.29521,-2,42.22874,21.50771,24.82096,25.73434
832499263,22.35637,80.19989,29.20821,0,23.85142,-2,0,21.37264,24.75323,24.5841
832499273,22.41245,80.29603,28.8563,0.029326,26.68622,-2,1.759531,21.44018,25.80187,25.73434
832499283,22.51125,80.55695,32.02346,0.909091,27.66373,-2,0,21.50771,25.36221,25.49748
832499293,22.46853,80.30061,41.17302,0.087977,41.34897,-2,0,20.79813,24.4827,25.12535
832499303,22.62341,80.35249,28.5044,0.058651,26.09971,-2,0,22.14976,25.36221,25.15922
832499313,22.51125,80.45319,29.56012,0.029326,26.78397,-2,0,21.23738,24.00917,25.36221
832499323,22.65011,80.60273,28.5044,0,26.68622,-2,0,21.67663,24.21217,26.24193
832499333,22.77829,80.6363,29.56012,0.087977,26.88172,-2,12.31672,22.72447,25.46361,26.0726
832499343,22.82368,80.26093,28.8563,0.029326,26.88172,-2,0,21.30491,25.09148,25.32835
832499353,22.80499,80.25941,29.56012,0.087977,27.07722,-2,0,21.98083,25.56521,25.05762
832499363,22.90646,80.44709,27.80059,0.117302,26.88172,-2,0,21.8119,24.95622,25.46361
832499373,22.90646,80.59968,29.20821,0.029326,27.17498,-2,0,21.37264,25.83574,25.63274
832499383,23.04799,80.5127,29.91202,0,26.78397,-2,22.8739,21.98083,25.02375,24.92235
832499393,22.97856,80.48524,28.5044,0.058651,26.97947,-2,0,21.64277,25.56521,26.00507
832499403,23.00526,80.61646,28.5044,0.029326,30.88954,-2,22.8739,21.8119,24.21217,24.78709
832499413,23.06134,80.6302,31.31965,0.087977,25.9042,-2,0,21.37264,25.15922,26.0726
832499423,23.13344,80.61799,24.98534,0.146628,26.78397,-2,0,21.84556,25.22675,25.73434
832499433,23.13344,80.53559,29.56012,0,27.37048,-2,0,21.54157,24.65183,25.36221
832499443,23.14679,80.56153,349.4428,0.029326,26.88172,-2,1.759531,21.57544,24.3811,25.53114
832499453,23.20287,80.64851,316.7155,0,29.13001,-2,3.519062,21.44018,25.02375,26.00507
832499463,23.28832,80.79195,262.8739,0.146628,27.46823,-2,0,21.77803,24.78709,25.80187
832499473,23.27497,80.96132,207.9765,0.557185,31.67155,-2,0,21.74417,23.97531,25.26061
832499483,23.40314,80.76906,204.1056,0.029326,27.46823,-2,0,20.76446,24.14444,25.05762
832499493,23.36042,80.77821,204.4575,0.058651,26.78397,-2,0,20.86566,24.41496,24.82096
832499503,23.30167,80.76448,205.8651,2.111437,27.95699,-2,0,22.08222,24.61796,25.02375
832499513,23.38979,80.90028,171.3783,0.029326,28.25024,-2,29.91202,20.96706,25.46361,25.15922
832499523,23.41649,80.9781,203.7537,0.146628,27.56598,-2,0,21.7105,24.31357,25.66661
832499533,23.5153,80.91402,207.6246,0.058651,27.46823,-2,0,21.33878,24.75323,25.63274
832499543,23.57137,80.85603,204.1056,0,26.39296,-2,0,21.50771,24.61796,25.39588
832499553,23.47257,80.86061,205.1613,0.205279,26.49071,-2,1.759531,21.64277,24.51636,25.56521
832499563,23.47257,81.18867,204.1056,0.469208,26.58846,-2,0,21.67663,24.92235,25.19288
832499573,23.57137,80.99794,207.9765,0.029326,27.37048,-2,7.038123,21.40631,25.73434,25.26061
832499583,23.65682,80.87892,205.1613,0.029326,27.66373,-2,0,20.79813,25.49748,25.93733
832499593,23.64347,80.82399,200.9384,0,27.85924,-2,22.8739,21.37264,24.4827,25.49748
